"Dataset","Analysis","Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","FC","log2FC","p_value","FDR","VIP"
"Lip_Neg","paired",2070,9.937,788.58698,"PC O-34:2|PC O-16:1_18:1","EtherPC",0.77491540507716,-0.367889270096653,5.64842128555848e-05,0.000546966688953676,1.0430054096691
"Lip_Neg","paired",2124,10.045,796.58661,"DMPE 38:3|DMPE 18:0_20:3","DMPE",1.44626267467663,0.532329602798969,5.56366072462362e-05,0.000546966688953676,1.433624909713
"Lip_Neg","paired",2189,8.772,815.55298,"low score: PG 38:3;O|PG 18:0_20:3;O","OxPG",0.887836054720178,-0.17163479767985,5.65827609262423e-05,0.000546966688953676,0.726375408477058
"Lip_Neg","paired",2348,10.486,855.65942,"SM 42:3;O2|SM 16:3;O2/26:0","SM",0.862765095616129,-0.212960283479539,7.72978005054544e-05,0.000714724590180868,0.889426242238362
"Lip_Neg","paired",437,6.237,281.24762,"no MS2: FA 18:1","FA",0.803102085794107,-0.316344708255743,8.05719248600709e-05,0.000720627614117364,1.00366145688111
"Lip_Neg","paired",2069,9.415,788.5838,"PC O-34:2|PC O-16:0_18:2","EtherPC",0.779643330883521,-0.359113820205405,8.15098149736114e-05,0.000720627614117364,0.980539833729972
"Lip_Neg","paired",2244,9.077,830.58179,"no MS2: HexCer 42:6;O3|HexCer 28:5;O3(FA 14:1)","HexCer_EOS",0.800660045490539,-0.320738280207328,8.35837671546786e-05,0.000720627614117364,0.86273758244299
"Lip_Neg","paired",2320,12.391,846.67755,"no MS2: HexCer 45:4;O2|HexCer 17:0;O2/28:4","HexCer_NDS",0.633442243374478,-0.658715013004873,8.27032869831514e-05,0.000720627614117364,1.50435240201425
"Lip_Neg","paired",2358,11.62,857.67609,"SM 42:2;O2|SM 18:1;O2/24:1","SM",0.476796267905104,-1.06855515165413,8.31053881230834e-05,0.000720627614117364,2.22519219495538
"Lip_Neg","paired",2478,9.074,896.5639,"low score: SHexCer 42:6;O3","SHexCer",0.77207552662465,-0.37318611195724,9.19794062433747e-05,0.000762115080302247,1.09140686612133
"Lip_Neg","paired",1891,8.766,738.5116,"PE 36:4|PE 18:2_18:2","PE",0.521888423166135,-0.938186695278134,0.000103418493814318,0.000835202519664997,2.30689673283386
"Lip_Neg","paired",2206,9.017,819.55365,"DGGA 38:4|DGGA 19:2_19:2","DGGA",0.836069624342995,-0.258305006035917,0.000116942006040092,0.000906300026026947,1.00273179560214
"Lip_Neg","paired",2234,9.215,828.57666,"PC 36:3|PC 16:0_20:3","PC",1.32742798360701,0.408633593224277,0.000117054627672778,0.000906300026026947,1.12738430521373
"Lip_Neg","paired",2588,8.357,949.51532,"low score: DLCL 38:5|DLCL 19:0_19:5","DLCL",0.739630780440828,-0.435122829764898,0.000119324768317027,0.000906300026026947,1.17848707434968
"Lip_Neg","paired",2356,10.484,857.66541,"RIKEN N-VS1 ID-6967 from Mouse_Brain_WT_N_F1DHA","Unknown",0.713216135089714,-0.487588753463148,0.000140919884859649,0.00105772807694654,1.24317452251258
"Lip_Neg","paired",1966,8.995,762.50757,"PE 38:6|PE 16:0_22:6","PE",1.3504167971118,0.433404754180831,0.000161399427415762,0.00116006511054936,1.10050838743654
"Lip_Neg","paired",1866,9.56,725.53809,"no MS2: RIKEN N-VS1 ID-4794 from Mouse_Spleen_WT_N_F1AA","Unknown",0.691812950873633,-0.531546073390631,0.000175110171729953,0.00121435097351859,1.22628776955646
"Lip_Neg","paired",1870,9.346,726.54724,"PE O-36:3|PE O-18:1_18:2","EtherPE",0.795154897796055,-0.33069216717645,0.000174209650784232,0.00121435097351859,1.05603692260228
